#@ TextLoader{
#@   header+
#@   sep=comma
#@   col=Features:R4:0-10
#@ }
Numero_de_Habitaciones_MinMax,Tamaño_m2_MinMax,Coste_USD_MinMax,Año_de_Construcción_MinMax,Precio_m2_MinMax,Ubicacion_OneHot.Rural,Ubicacion_OneHot.Centro,Ubicacion_OneHot.Suburbios,Tipo_de_Vivienda_OneHot.Casa,Tipo_de_Vivienda_OneHot.Dúplex,Tipo_de_Vivienda_OneHot.Apartamento
0.25,0.24592507,0.37330076,0.0754717,0.22554885,0,1,0,0,0,1
0.25,0.79257166,0.51686186,0.6981132,0.05370473,0,1,0,0,0,1
0.75,0.40895936,0.5969171,0.03773585,0.2115276,1,0,0,0,0,1
0.75,0.13739423,0.66754156,0.9811321,0.5185051,0,0,1,0,1,0
0,0.09827479,0.7310413,0.41509435,0.63865936,0,1,0,0,1,0
1,0.3827332,0.36336875,0.6792453,0.13725396,0,1,0,0,0,1
1,0.25347057,0.32126758,0.9811321,0.19458774,0,1,0,1,0,0
0.25,0.42514923,0.77740365,0.6792453,0.2676238,1,0,0,0,0,1
1,0.38104832,0.01192918,0.16981132,0.0024393345,1,0,0,0,1,0
0.25,0.31281027,0.8247044,0.16981132,0.3742996,0,0,1,0,1,0
0,0.13929895,0.40281382,0.33962265,0.35039827,1,0,0,1,0,0
0.75,0.016959103,0.46990716,0.3018868,0.6442195,0,1,0,0,1,0
0.75,0.21259294,0.31718582,0.3773585,0.22416162,0,0,1,0,0,1
0.75,0.31281027,0.46007565,0.24528302,0.21667665,0,1,0,1,0,0
1,0.3335775,0.75735575,0.1509434,0.3270714,0,1,0,0,0,1
0,0.06622469,0.6446308,0.8490566,0.65313274,1,0,0,0,0,1
1,0.32610527,0.5819503,0,0.25934985,0,0,1,1,0,0
1,0.36496833,0.49096072,0.9433962,0.19652325,1,0,0,0,0,1
0,0.13252261,0.14520182,0.8301887,0.19630231,1,0,0,0,1,0
0,0.3225523,0.513238,0.2264151,0.23277792,0,0,1,0,0,1
0,0.3050438,0.39360315,0.056603774,0.19288081,0,1,0,1,0,0
0,0.08505183,0.57406163,0,0.55672747,0,1,0,1,0,0
0.75,0.35991356,0.4866298,0.9056604,0.19779277,0,0,1,1,0,0
0.5,0.39709166,0.69254434,0.7358491,0.2544344,0,1,0,0,0,1
0.5,0.49272916,0.57765585,0.5849057,0.16266017,0,0,1,1,0,0
0,0.4873814,0.513238,0.6226415,0.14374472,0,0,1,1,0,0
0.5,0.04208639,0.9837234,0.509434,1,1,0,0,0,0,1
0.5,0.122632876,0.513238,0.5660378,0.4450558,0,0,1,0,1,0
0,0.3887037,0.3736075,0.13207547,0.1383248,1,0,0,0,0,1
0.5,0.31281027,0.89003414,0.7169812,0.40254053,0,1,0,1,0,0
1,0.3887037,0.513238,0.4716981,0.19156875,0,1,0,1,0,0
0.25,1,0.880147,0.6226415,0.088076465,0,1,0,0,0,1
0.25,0.3989231,0.44593945,1,0.16068473,0,1,0,0,1,0
0,0.5023625,0.6909231,1,0.19516109,1,0,0,1,0,0
